title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email,Alabama,AL,,,legal_name,last_name,first_name,tags,flip_background,flop_background
Rep,Neil,,Abercrombie,,,D,HI,1,0,M,26827,H6HI01121,400001,N00007665,neilabercrombie,http://www.opencongress.org/wiki/Neil_Abercrombie,http://youtube.com/hawaiirep1,,,,6/26/1938,,Alaska,AK,,,Neil  Abercrombie,Abercrombie,Neil ,"Democratic Party, Hawaii, US Representative",neil _abercrombie_red.png,neil _abercrombie_blue.png
Rep,Gary,L.,Ackerman,,,D,NY,5,0,M,26970,H4NY07011,400003,N00001143,repgaryackerman,http://www.opencongress.org/wiki/Gary_Ackerman,http://youtube.com/RepAckerman,RepAcherman,,,11/19/1942,,Arizona,AZ,,,Gary L. Ackerman,Ackerman,Gary L.,"Democratic Party, New York, US Representative",gary l._ackerman_red.png,gary l._ackerman_blue.png
Rep,Robert,B.,Aderholt,,,R,AL,4,1,M,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,19787529402,,,7/22/1965,Rep.Aderholt@opencongress.org,Arkansas,AR,,,Robert B. Aderholt,Aderholt,Robert B.,"Republican Party, Alabama, US Representative",robert b._aderholt_red.png,robert b._aderholt_blue.png
Sen,Daniel,Kahikina,Akaka,,,D,HI,Junior Seat,0,M,53286,S0HI00084,300001,N00007653,,http://www.opencongress.org/wiki/Daniel_Akaka,http://youtube.com/senatorakaka,danielakaka,,I,9/11/1924,,California,CA,,,Daniel Kahikina Akaka,Akaka,Daniel Kahikina,"Democratic Party, Hawaii, Senator",daniel kahikina_akaka_red.png,daniel kahikina_akaka_blue.png
Sen,Wayne,A.,Allard,,,R,CO,Senior Seat,0,M,26783,S6CO00168,300003,N00009082,,http://www.opencongress.org/wiki/Wayne_Allard,,,,II,12/2/1943,,Colorado,CO,,,Wayne A. Allard,Allard,Wayne A.,"Republican Party, Colorado, Senator",wayne a._allard_red.png,wayne a._allard_blue.png
Rep,Robert,E.,Andrews,,Rob,D,NJ,1,0,M,26949,H0NJ01066,400008,N00000826,,http://www.opencongress.org/wiki/Robert_Andrews,,,,,8/4/1957,,Connecticut,CT,,,Robert E. Andrews,Andrews,Robert E.,"Democratic Party, New Jersey, US Representative",robert e._andrews_red.png,robert e._andrews_blue.png
Rep,Thomas,H.,Allen,,Tom,D,ME,1,0,M,380,H6ME01157,400007,N00000469,,http://www.opencongress.org/wiki/Thomas_Allen,,,,,4/16/1945,,Delaware,DE,,,Thomas H. Allen,Allen,Thomas H.,"Democratic Party, Maine, US Representative",thomas h._allen_red.png,thomas h._allen_blue.png
Rep,W.,Todd,Akin,,,R,MO,2,0,M,9301,H0MO02148,400005,N00009677,ToddAkin,http://www.opencongress.org/wiki/W._Todd_Akin,http://youtube.com/RepToddAkin,CongressmanToddAkin,,,7/5/1947,,Florida,FL,,,W. Todd Akin,Akin,W. Todd,"Republican Party, Missouri, US Representative",w. todd_akin_red.png,w. todd_akin_blue.png
Sen,Lamar,,Alexander,,,R,TN,Senior Seat,1,M,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,http://youtube.com/lamaralexander,89927603836,,II,7/3/1940,Sen.Alexander@opencongress.org,Georgia,GA,,,Lamar  Alexander,Alexander,Lamar ,"Republican Party, Tennessee, Senator",lamar _alexander_red.png,lamar _alexander_blue.png
Rep,Rodney,M.,Alexander,,,R,LA,5,0,M,4545,H2LA05084,400006,N00025464,USRepAlexander,http://www.opencongress.org/wiki/Rodney_Alexander,http://youtube.com/RepRodneyMAlexander,20002702544,,,12/5/1946,,Hawaii,HI,,,Rodney M. Alexander,Alexander,Rodney M.,"Republican Party, Louisiana, US Representative",rodney m._alexander_red.png,rodney m._alexander_blue.png
Rep,Jason,,Altmire,,,D,PA,4,0,M,59999,H6PA04110,412231,N00027664,RepJasonAltmire,http://www.opencongress.org/wiki/Jason_Altmire,http://youtube.com/congressmanaltmire,1258677943,,,3/7/1968,,Idaho,ID,,,Jason  Altmire,Altmire,Jason ,"Democratic Party, Pennsylvania, US Representative",jason _altmire_red.png,jason _altmire_blue.png
Rep,Michael,A.,Arcuri,,,D,NY,24,0,M,67657,H6NY24128,412224,N00027890,,http://www.opencongress.org/wiki/Michael_Arcuri,http://youtube.com/RepArcuri,,,,6/11/1959,,Illinois,IL,,,Michael A. Arcuri,Arcuri,Michael A.,"Democratic Party, New York, US Representative",michael a._arcuri_red.png,michael a._arcuri_blue.png
Rep,John,H.,Adler,,,D,NJ,3,0,M,4171,H8NJ03156,412264,N00000812,,http://www.opencongress.org/wiki/John_Adler,,,,,8/23/1959,,Indiana,IN,,,John H. Adler,Adler,John H.,"Democratic Party, New Jersey, US Representative",john h._adler_red.png,john h._adler_blue.png
Rep,Steve,,Austria,,,R,OH,7,0,M,23398,H8OH07065,412265,N00029412,SteveAustria,http://www.opencongress.org/wiki/Steven_Austria,http://youtube.com/CongressmanAustria,1.86083E+14,,,10/12/1958,,Iowa,IA,,,Steve  Austria,Austria,Steve ,"Republican Party, Ohio, US Representative",steve _austria_red.png,steve _austria_blue.png
Rep,Sandy,,Adams,,,R,FL,24,0,F,31041,H0FL24049,412414,N00030926,RepSandyAdams,http://www.opencongress.org/wiki/Sandy_Adams,http://youtube.com/RepSandyAdams,1.72899E+14,,,12/14/1956,,Kansas,KS,,,Sandy  Adams,Adams,Sandy ,"Republican Party, Florida, US Representative",sandy _adams_red.png,sandy _adams_blue.png
Rep,Justin,,Amash,,,R,MI,3,1,M,105566,H0MI03126,412438,N00031938,,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,1.73604E+14,,,4/18/1980,Rep.Amash@opencongress.org,Kentucky,KY,,,Justin  Amash,Amash,Justin ,"Republican Party, Michigan, US Representative",justin _amash_red.png,justin _amash_blue.png
Sen,Kelly,,Ayotte,,,R,NH,Junior Seat,0,F,42352,S0NH00235,412493,N00030980,KellyAyotte,http://www.opencongress.org/wiki/Kelly_Ayotte,http://youtube.com/SenatorAyotte,1.23436E+14,,III,6/27/1968,,Louisiana,LA,,,Kelly  Ayotte,Ayotte,Kelly ,"Republican Party, New Hampshire, Senator",kelly _ayotte_red.png,kelly _ayotte_blue.png
