legal_name,last_name,first_name,temp,tags,flip_background,flop_background
"Clinton, Hillary Rodham",Clinton,Hillary Rodham,Hillary Rodham Clinton,"Democratic Party, Presidential Candidate, 2016, New York, Senator, Secretary of State",hillary_clinton_red.png,hillary_clinton_blue.png
"Trump, Donald J.",Trump,Donald J.,Donald J. Trump,"Republican Party, Presidential Candidate, 2016, President-Elect",donald_trump_red.png,donald_trump_blue.png
"Sanders, Bernard",Sanders,Bernie,Bernie Sanders,"Democratic Party, Presidential Candidate, 2016, Vermont, Senator",bernie_sanders_red.png,bernie_sanders_blue.png
"Cruz, Rafael Edward 'Ted'",Cruz,Ted,Ted Cruz,"Republican Party, Presidential Candidate, 2016, Texas, Senator",ted_cruz_red.png,ted_cruz_blue.png
"Carson, Benjamin S.",Carson,Ben,Ben Carson,"Republican Party, Presidential Candidate, 2016",ben_carson_red.png,ben_carson_blue.png
"Rubio, Marco",Rubio,Marco,Marco Rubio,"Republican Party, Presidential Candidate, 2016, Florida, Senator",marco_rubio_red.png,marco_rubio_blue.png
"Bush, Jeb",Bush,Jeb,Jeb Bush,"Republican Party, Presidential Candidate, 2016, Florida, Governor",jeb_bush_red.png,jeb_bush_blue.png
"Kasich, John R.",Kasich,John R.,John R. Kasich,"Republican Party, Presidential Candidate, 2016, Ohio, Governor",john_kasich_red.png,john_kasich_blue.png
"Paul, Rand",Paul,Rand,Rand Paul,"Republican Party, Presidential Candidate, 2016, Kentucky, Senator",rand_paul_red.png,rand_paul_blue.png
"Fiorina, Carly",Fiorina,Carly,Carly Fiorina,"Republican Party, Presidential Candidate, 2016",carly_fiorina_red.png,carly_fiorina_blue.png
"Johnson, Gary",Johnson,Gary,Gary Johnson,"Libertarian Party, Presidential Candidate, 2016, New Mexico, Governor",gary_johnson_red.png,gary_johnson_blue.png
"Walker, Scott",Walker,Scott,Scott Walker,"Republican Party, Presidential Candidate, 2016, Wisconsin, Governor",scott_walker_red.png,scott_walker_blue.png
"Christie, Christopher J.",Christie,Chris,Chris Christie,"Republican Party, Presidential Candidate, 2016, New Jersey, Governor",chris_christie_red.png,chris_christie_blue.png
"Graham, Lindsey O.",Graham,Lindsey O.,Lindsey O. Graham,"Republican Party, Presidential Candidate, 2016, South Carolina, Senator",lindsey_graham_red.png,lindsey_graham_blue.png
"O'Malley, Martin Joseph",O'Malley,Martin Joseph,Martin Joseph O'Malley,"Democratic Party, Presidential Candidate, 2016, Maryland, Governor",martin_o'malley_red.png,martin_o'malley_blue.png
"Huckabee, Mike",Huckabee,Mike,Mike Huckabee,"Republican Party, Presidential Candidate, 2016, Arkansas, Governor",mike_huckabee_red.png,mike_huckabee_blue.png
"Stein, Jill",Stein,Jill,Jill Stein,"Independent, Presidential Candidate, 2016",jill_stein_red.png,jill_stein_blue.png
