tag_id,taggable_id,taggable_type
1,1,App\Politician
2,1,App\Politician
3,1,App\Politician
4,1,App\Politician
5,1,App\Politician
6,2,App\Politician
2,2,App\Politician
7,2,App\Politician
1,3,App\Politician
2,3,App\Politician
8,3,App\Politician
4,3,App\Politician
6,4,App\Politician
2,4,App\Politician
9,4,App\Politician
4,4,App\Politician
6,5,App\Politician
2,5,App\Politician
6,6,App\Politician
2,6,App\Politician
10,6,App\Politician
4,6,App\Politician
6,7,App\Politician
2,7,App\Politician
10,7,App\Politician
11,7,App\Politician
6,8,App\Politician
2,8,App\Politician
12,8,App\Politician
11,8,App\Politician
6,9,App\Politician
2,9,App\Politician
13,9,App\Politician
4,9,App\Politician
6,10,App\Politician
2,10,App\Politician
14,11,App\Politician
2,11,App\Politician
15,11,App\Politician
11,11,App\Politician
6,12,App\Politician
2,12,App\Politician
16,12,App\Politician
11,12,App\Politician
6,13,App\Politician
2,13,App\Politician
17,13,App\Politician
11,13,App\Politician
6,14,App\Politician
2,14,App\Politician
18,14,App\Politician
4,14,App\Politician
1,15,App\Politician
2,15,App\Politician
19,15,App\Politician
11,15,App\Politician
6,16,App\Politician
2,16,App\Politician
20,16,App\Politician
11,16,App\Politician
21,17,App\Politician
2,17,App\Politician
6,18,App\Politician
2,18,App\Politician
22,18,App\Politician
4,18,App\Politician
21,19,App\Politician
2,19,App\Politician
6,20,App\Politician
2,20,App\Politician
23,20,App\Politician
11,20,App\Politician
24,20,App\Politician
6,21,App\Politician
2,21,App\Politician
9,21,App\Politician
11,21,App\Politician
1,22,App\Politician
2,22,App\Politician
1,23,App\Politician
2,23,App\Politician
25,23,App\Politician
4,23,App\Politician
6,24,App\Politician
2,24,App\Politician
3,24,App\Politician
11,24,App\Politician
1,25,App\Politician
2,25,App\Politician
26,25,App\Politician
11,25,App\Politician
6,26,App\Politician
2,26,App\Politician
25,26,App\Politician
11,26,App\Politician
6,27,App\Politician
2,27,App\Politician
28,27,App\Politician
27,27,App\Politician
55,27,App\Politician
6,28,App\Politician
28,28,App\Politician
52,28,App\Politician
6,29,App\Politician
28,29,App\Politician
6,30,App\Politician
28,30,App\Politician
40,30,App\Politician
6,31,App\Politician
28,31,App\Politician
1,32,App\Politician
28,32,App\Politician
50,32,App\Politician
6,33,App\Politician
28,33,App\Politician
9,33,App\Politician
6,34,App\Politician
28,34,App\Politician
52,34,App\Politician
1,35,App\Politician
29,35,App\Politician
24,35,App\Politician
1,36,App\Politician
3,36,App\Politician
24,36,App\Politician
6,37,App\Politician
30,37,App\Politician
24,37,App\Politician
1,38,App\Politician
29,38,App\Politician
4,38,App\Politician
6,39,App\Politician
31,39,App\Politician
4,39,App\Politician
1,40,App\Politician
17,40,App\Politician
24,40,App\Politician
1,41,App\Politician
32,41,App\Politician
24,41,App\Politician
6,42,App\Politician
33,42,App\Politician
24,42,App\Politician
6,43,App\Politician
34,43,App\Politician
4,43,App\Politician
6,44,App\Politician
23,44,App\Politician
24,44,App\Politician
1,45,App\Politician
22,45,App\Politician
24,45,App\Politician
1,46,App\Politician
3,46,App\Politician
24,46,App\Politician
1,47,App\Politician
17,47,App\Politician
24,47,App\Politician
6,48,App\Politician
12,48,App\Politician
24,48,App\Politician
6,49,App\Politician
10,49,App\Politician
24,49,App\Politician
6,50,App\Politician
35,50,App\Politician
24,50,App\Politician
6,51,App\Politician
36,51,App\Politician
4,51,App\Politician
6,52,App\Politician
37,52,App\Politician
24,52,App\Politician
1,53,App\Politician
38,53,App\Politician
24,53,App\Politician
1,54,App\Politician
39,54,App\Politician
24,54,App\Politician
6,55,App\Politician
40,55,App\Politician
24,55,App\Politician
6,56,App\Politician
23,56,App\Politician
24,56,App\Politician
6,57,App\Politician
9,57,App\Politician
24,57,App\Politician
6,58,App\Politician
30,58,App\Politician
24,58,App\Politician
6,59,App\Politician
23,59,App\Politician
24,59,App\Politician
6,60,App\Politician
19,60,App\Politician
24,60,App\Politician
6,61,App\Politician
9,61,App\Politician
24,61,App\Politician
6,62,App\Politician
36,62,App\Politician
24,62,App\Politician
1,63,App\Politician
41,63,App\Politician
4,63,App\Politician
1,64,App\Politician
39,64,App\Politician
24,64,App\Politician
6,65,App\Politician
