tag,taggable_id,taggable_type
Democratic Party,1,politician
Presidential Candidate 2016,1,politician
New York,1,politician
Senator,1,politician
Secretary of State,1,politician
Republican Party,2,politician
Presidential Candidate 2016,2,politician
President,2,politician
Democratic Party,3,politician
Presidential Candidate 2016,3,politician
Vermont,3,politician
Senator,3,politician
Republican Party,4,politician
Presidential Candidate 2016,4,politician
Texas,4,politician
Senator,4,politician
Republican Party,5,politician
Presidential Candidate 2016,5,politician
Republican Party,6,politician
Presidential Candidate 2016,6,politician
Florida,6,politician
Senator,6,politician
Republican Party,7,politician
Presidential Candidate 2016,7,politician
Florida,7,politician
Governor,7,politician
Republican Party,8,politician
Presidential Candidate 2016,8,politician
Ohio,8,politician
Governor,8,politician
Republican Party,9,politician
Presidential Candidate 2016,9,politician
Kentucky,9,politician
Senator,9,politician
Republican Party,10,politician
Presidential Candidate 2016,10,politician
Libertarian Party,11,politician
Presidential Candidate 2016,11,politician
New Mexico,11,politician
Governor,11,politician
Republican Party,12,politician
Presidential Candidate 2016,12,politician
Wisconsin,12,politician
Governor,12,politician
Republican Party,13,politician
Presidential Candidate 2016,13,politician
New Jersey,13,politician
Governor,13,politician
Republican Party,14,politician
Presidential Candidate 2016,14,politician
South Carolina,14,politician
Senator,14,politician
Democratic Party,15,politician
Presidential Candidate 2016,15,politician
Maryland,15,politician
Governor,15,politician
Republican Party,16,politician
Presidential Candidate 2016,16,politician
Arkansas,16,politician
Governor,16,politician
Independent,17,politician
Presidential Candidate 2016,17,politician
Republican Party,18,politician
Presidential Candidate 2016,18,politician
Pennsylvania,18,politician
Senator,18,politician
Independent,19,politician
Presidential Candidate 2016,19,politician
Republican Party,20,politician
Presidential Candidate 2016,20,politician
Louisiana,20,politician
Governor,20,politician
US Representative,20,politician
Republican Party,21,politician
Presidential Candidate 2016,21,politician
Texas,21,politician
Governor,21,politician
Democratic Party,22,politician
Presidential Candidate 2016,22,politician
Democratic Party,23,politician
Presidential Candidate 2016,23,politician
Virginia,23,politician
Senator,23,politician
Republican Party,24,politician
Presidential Candidate 2016,24,politician
New York,24,politician
Governor,24,politician
Democratic Party,25,politician
Presidential Candidate 2016,25,politician
Rhode Island,25,politician
Governor,25,politician
Republican Party,26,politician
Presidential Candidate 2016,26,politician
Virginia,26,politician
Governor,26,politician
Republican Party,27,politician
Presidential Candidate 2016,27,politician
Presidential Candidate 2008,27,politician
Republican Party,28,politician
Presidential Candidate 2012,28,politician
Republican Party,29,politician
Presidential Candidate 2012,29,politician
Republican Party,30,politician
Presidential Candidate 2012,30,politician
Republican Party,31,politician
Presidential Candidate 2012,31,politician
Democratic Party,32,politician
Presidential Candidate 2012,32,politician
Republican Party,33,politician
Presidential Candidate 2012,33,politician
Republican Party,34,politician
Presidential Candidate 2012,34,politician
